pmid	full_title	journal	pub_count	date	tweet_title	status_hash	posted	score
					Epidemiological and clinical characteristics of the COVID-19 epidemic in Brazil.	epidemiologicalandclinicalcharacteristicsofthecovid19epidemicinbrazil	True	0
					Modular prophage interactions driven by capsule serotype select for capsule loss under phage predation.	modularprophageinteractionsdrivenbycapsuleserotypeselectforcapsulelossunderphagepredation	True	0
					Distance-based phylogenetic inference from typing data: a unifying view.	distancebasedphylogeneticinferencefromtypingdataaunifyingview	True	0
					Evolutionary origins of the SARS-CoV-2 sarbecovirus lineage responsible for the COVID-19 pandemic.	evolutionaryoriginsofthesarscov2sarbecoviruslineageresponsibleforthecovid19pandemic	True	0
					Neonatal genetics of gene expression reveal potential origins of autoimmune and allergic disease risk.	neonatalgeneticsofgeneexpressionrevealpotentialoriginsofautoimmuneandallergicdiseaserisk	True	0
					DNA Thermo-Protection Facilitates Whole Genome Sequencing of Mycobacteria Direct from Clinical Samples.	dnathermoprotectionfacilitateswholegenomesequencingofmycobacteriadirectfromclinicalsles	True	0
					Toilet drain water as a potential source of hospital room-to-room transmission of carbapenemase-producing Klebsiella pneumoniae.	toiletdrainwaterasapotentialsourceofhospitalroomtoroomtransmissionofcarbapenemaseproducingklebsiellapneumoniae	True	0
					Examination of 189 Campylobacter Species Isolates from the Global Enteric Multicenter Study.	examinationof189cylobacterspeciesisolatesfromtheglobalentericmulticenterstudy	True	0
					Evolution and epidemic spread of SARS-CoV-2 in Brazil.	evolutionandepidemicspreadofsarscov2inbrazil	True	0
					Producing polished prokaryotic pangenomes with the Panaroo pipeline.	producingpolishedprokaryoticpangenomeswiththepanaroopipeline	True	0
					A unified catalog of 204,938 reference genomes from the human gut microbiome.	aunifiedcatalogof204938referencegenomesfromthehumangutmicrobiome	True	0
					Pathogen genomic surveillance of typhoidal Salmonella infection in adults and children reveals no association between clinical outcomes and infecting genotypes.	pathogengenomicsurveillanceoftyphoidalsalmonellainfectioninadultsandchildrenrevealsnoassociationbetweenclinicaloutcomesandinfectinggenotypes	True	0
					Escherichia coli ST8196 is a novel, locally evolved, and extensively drug resistant pathogenic lineage within the ST131 clonal complex.	escherichiacolist8196isanovellocallyevolvedandextensivelydrugresistantpathogeniclineagewithinthest131clonalcomplex	True	0
					Pathways for horizontal gene transfer in bacteria revealed by a global map of their plasmids.	pathwaysforhorizontalgenetransferinbacteriarevealedbyaglobalmapoftheirplasmids	True	0
					AlbaTraDIS: Comparative analysis of large datasets from parallel transposon mutagenesis experiments.	albatradiscomparativeanalysisoflargedatasetsfromparalleltransposonmutagenesisexperiments	True	0
					Rapid SARS-CoV-2 whole-genome sequencing and analysis for informed public health decision-making in the Netherlands.	rapidsarscov2wholegenomesequencingandanalysisforinformedpublichealthdecisionmakinginthenetherlands	True	0
					A dynamic nomenclature proposal for SARS-CoV-2 lineages to assist genomic epidemiology.	adynamicnomenclatureproposalforsarscov2lineagestoassistgenomicepidemiology	True	0
					Higher temperatures lower rates of physiological and niche evolution.	highertemperatureslowerratesofphysiologicalandnicheevolution	True	0
					Automated assembly of centromeres from ultra-long error-prone reads.	automatedassemblyofcentromeresfromultralongerrorpronereads	True	0
					A high-throughput genomic screen identifies a role for the plasmid-borne type II secretion system of Escherichia coli O157:H7 (Sakai) in plant-microbe interactions.	ahighthroughputgenomicscreenidentifiesarolefortheplasmidbornetypeiisecretionsystemofescherichiacolio157h7sakaiinplantmicrobeinteractions	True	0
					Combined therapy with ceftriaxone and doxycycline does not improve the outcome of meningococcal meningitis in mice compared to ceftriaxone monotherapy.	combinedtherapywithceftriaxoneanddoxycyclinedoesnotimprovetheoutcomeofmeningococcalmeningitisinmicecomparedtoceftriaxonemonotherapy	True	0
					Search and Contain: Impact of an integrated genomic and epidemiological surveillance and response program for control of carbapenemase-producing Enterobacterales.	searchandcontainimpactofanintegratedgenomicandepidemiologicalsurveillanceandresponseprogramforcontrolofcarbapenemaseproducingenterobacterales	True	0
					Telomere-to-telomere assembly of a complete human X chromosome.	telomeretotelomereassemblyofacompletehumanxchromosome	True	0
					Diagnostic challenge of gastrointestinal infection due to lactose-fermenting Salmonella enterica subsp. enterica serovar 4,5:I:.	diagnosticchallengeofgastrointestinalinfectionduetolactosefermentingsalmonellaentericasubspentericaserovar45i	True	0
					Revealing COVID-19 transmission in Australia by SARS-CoV-2 genome sequencing and agent-based modeling.	revealingcovid19transmissioninaustraliabysarscov2genomesequencingandagentbasedmodeling	True	0
					Impact of insertion sequences on convergent evolution of Shigella species.	impactofinsertionsequencesonconvergentevolutionofshigellaspecies	True	0
					Hidden genomic diversity of SARS-CoV-2: implications for qRT-PCR diagnostics and transmission.	hiddengenomicdiversityofsarscov2implicationsforqrtpcrdiagnosticsandtransmission	True	0
					Improved Prediction of Bacterial Genotype-Phenotype Associations Using Interpretable Pangenome-Spanning Regressions.	improvedpredictionofbacterialgenotypephenotypeassociationsusinginterpretablepangenomespanningregressions	True	0
					COVID-19 in health-care workers in three hospitals in the south of the Netherlands: a cross-sectional study.	covid19inhealthcareworkersinthreehospitalsinthesouthofthenetherlandsacrosssectionalstudy	True	0
					The Global Meningitis Genome Partnership.	theglobalmeningitisgenomepartnership	True	0
					Rapid and sensitive direct detection and identification of poliovirus from stool and environmental surveillance samples using nanopore sequencing.	rapidandsensitivedirectdetectionandidentificationofpoliovirusfromstoolandenvironmentalsurveillanceslesusingnanoporesequencing	True	0
					Nuclear cardiology in the COVID-19 pandemic era.	nuclearcardiologyinthecovid19pandemicera	True	0
					Lateral Gene Transfer Drives Metabolic Flexibility in the Anaerobic Methane-Oxidizing Archaeal Family Methanoperedenaceae.	lateralgenetransferdrivesmetabolicflexibilityintheanaerobicmethaneoxidizingarchaealfamilymethanoperedenaceae	True	0
					Accommodating individual travel history, global mobility, and unsampled diversity in phylogeography: a SARS-CoV-2 case study.	accommodatingindividualtravelhistoryglobalmobilityandunsleddiversityinphylogeographyasarscov2casestudy	True	0
					Mice Deficient in T-bet Form Inducible NO Synthase-Positive Granulomas That Fail to Constrain Salmonella.	micedeficientintbetforminduciblenosynthasepositivegranulomasthatfailtoconstrainsalmonella	True	0
					SpeS: A Novel Superantigen and Its Potential as a Vaccine Adjuvant against Strangles.	spesanovelsuperantigenanditspotentialasavaccineadjuvantagainststrangles	True	0
					Detection of extended-spectrum beta-lactamase (ESBL) genes and plasmid replicons in Enterobacteriaceae using PlasmidSPAdes assembly of short-read sequence data.	detectionofextendedspectrumbetalactamaseesblgenesandplasmidrepliconsinenterobacteriaceaeusingplasmidspadesassemblyofshortreadsequencedata	True	0
					Growth and Break-Up of Methanogenic Granules Suggests Mechanisms for Biofilm and Community Development.	growthandbreakupofmethanogenicgranulessuggestsmechanismsforbiofilmandcommunitydevelopment	True	0
					Detection of Colistin Resistance in Salmonella enterica Using MALDIxin Test on the Routine MALDI Biotyper Sirius Mass Spectrometer.	detectionofcolistinresistanceinsalmonellaentericausingmaldixintestontheroutinemaldibiotypersiriusmassspectrometer	True	0
					socru: typing of genome-level order and orientation around ribosomal operons in bacteria.	socrutypingofgenomelevelorderandorientationaroundribosomaloperonsinbacteria	True	0
					Identification of common deletions in the spike protein of SARS-CoV-2.	identificationofcommondeletionsinthespikeproteinofsarscov2	True	0
					Microevolution of Campylobacter jejuni during long-term infection in an immunocompromised host.	microevolutionofcylobacterjejuniduringlongterminfectioninanimmunocompromisedhost	True	0
					Genetic diversity of clinical Salmonella enterica serovar Typhimurium in a university hospital of south Tunisia, 2000-2013.	geneticdiversityofclinicalsalmonellaentericaserovartyphimuriuminauniversityhospitalofsouthtunisia20002013	True	0
					Dataset of Escherichia coli O157: H7 genes enriched in adherence to spinach root tissue.	datasetofescherichiacolio157h7genesenrichedinadherencetospinachroottissue	True	0
					Cell surface remodeling of Mycobacterium abscessus under cystic fibrosis airway growth conditions.	cellsurfaceremodelingofmycobacteriumabscessusundercysticfibrosisairwaygrowthconditions	True	0
					Genomic surveillance of Escherichia coli and Klebsiella spp. in hospital sink drains and patients.	genomicsurveillanceofescherichiacoliandklebsiellasppinhospitalsinkdrainsandpatients	True	0
					Droplet-based high-throughput cultivation for accurate screening of antibiotic resistant gut microbes.	dropletbasedhighthroughputcultivationforaccuratescreeningofantibioticresistantgutmicrobes	True	0
					IgM Antibody Repertoire Fingerprints in Mice Are Personalized but Robust to Viral Infection Status.	igmantibodyrepertoirefingerprintsinmicearepersonalizedbutrobusttoviralinfectionstatus	True	0
					Association between bacterial homoplastic variants and radiological pathology in tuberculosis.	associationbetweenbacterialhomoplasticvariantsandradiologicalpathologyintuberculosis	True	0
					A decade of advances in transposon-insertion sequencing.	adecadeofadvancesintransposoninsertionsequencing	True	0
					Increasing incidence of group B streptococcus neonatal infections in the Netherlands is associated with clonal expansion of CC17 and CC23.	increasingincidenceofgroupbstreptococcusneonatalinfectionsinthenetherlandsisassociatedwithclonalexpansionofcc17andcc23	True	0
					Genomic surveillance reveals multiple introductions of SARS-CoV-2 into Northern California.	genomicsurveillancerevealsmultipleintroductionsofsarscov2intonortherncalifornia	True	0
					A treponemal genome from an historic plague victim supports a recent emergence of yaws and its presence in 15th century Europe.	atreponemalgenomefromanhistoricplaguevictimsupportsarecentemergenceofyawsanditspresencein15thcenturyeurope	True	0
					A whole-genome screen identifies Salmonella enterica serovar Typhi genes involved in fluoroquinolone susceptibility.	awholegenomescreenidentifiessalmonellaentericaserovartyphigenesinvolvedinfluoroquinolonesusceptibility	True	0
					Identification of hepatitis C virus in the common bed bug - a potential, but uncommon route for HCV infection?	identificationofhepatitiscvirusinthecommonbedbugapotentialbutuncommonrouteforhcvinfection	True	0
					Genomic profiling reveals distinct routes to complement resistance in Klebsiella pneumoniae.	genomicprofilingrevealsdistinctroutestocomplementresistanceinklebsiellapneumoniae	True	0
					Pan-GWAS of Streptococcus agalactiae Highlights Lineage-Specific Genes Associated with Virulence and Niche Adaptation.	pangwasofstreptococcusagalactiaehighlightslineagespecificgenesassociatedwithvirulenceandnicheadaptation	True	0
					The emergence of SARS-CoV-2 in Europe and the US.	theemergenceofsarscov2ineuropeandtheus	True	0
					Evolution of Salmonella enterica serotype Typhimurium driven by anthropogenic selection and niche adaptation.	evolutionofsalmonellaentericaserotypetyphimuriumdrivenbyanthropogenicselectionandnicheadaptation	True	0
					Highly Sensitive and Specific Detection and Serotyping of Five Prevalent Salmonella Serovars by Multiple Cross-Displacement Amplification.	highlysensitiveandspecificdetectionandserotypingoffiveprevalentsalmonellaserovarsbymultiplecrossdisplacementamplification	True	0
					Molecular characterization of Brucella ovis in Argentina.	molecularcharacterizationofbrucellaovisinargentina	True	0
					Visualizing variation within Global Pneumococcal Sequence Clusters (GPSCs) and country population snapshots to contextualize pneumococcal isolates.	visualizingvariationwithinglobalpneumococcalsequenceclustersgpscsandcountrypopulationsnapshotstocontextualizepneumococcalisolates	True	0
					Genetic Markers in S. Paratyphi C Reveal Primary Adaptation to Pigs.	geneticmarkersinsparatyphicrevealprimaryadaptationtopigs	True	0
					Characterization of fosfomycin heteroresistance among MDR Escherichia coli isolates from hospitalized patients in Rio de Janeiro, Brazil.	characterizationoffosfomycinheteroresistanceamongmdrescherichiacoliisolatesfromhospitalizedpatientsinriodejaneirobrazil	True	0
					Importation and early local transmission of COVID-19 in Brazil, 2020.	importationandearlylocaltransmissionofcovid19inbrazil2020	True	0
					A Novel Bat Coronavirus Closely Related to SARS-CoV-2 Contains Natural Insertions at the S1/S2 Cleavage Site of the Spike Protein.	anovelbatcoronaviruscloselyrelatedtosarscov2containsnaturalinsertionsatthes1s2cleavagesiteofthespikeprotein	True	0
					Significant Short-Term Shifts in the Microbiomes of Smokers With Periodontitis After Periodontal Therapy With Amoxicillin &amp;amp; Metronidazole as Revealed by 16S rDNA Amplicon Next Generation Sequencing.	significantshorttermshiftsinthemicrobiomesofsmokerswithperiodontitisafterperiodontaltherapywithamoxicillinmetronidazoleasrevealedby16srdnaampliconnextgenerationsequencing	True	0
					A synthesis of bacterial and archaeal phenotypic trait data.	asynthesisofbacterialandarchaealphenotypictraitdata	True	0
					Decoding the stoichiometric composition and organisation of bacterial metabolosomes.	decodingthestoichiometriccompositionandorganisationofbacterialmetabolosomes	True	0
					A Novel Inducible Prophage from Burkholderia Vietnamiensis G4 is Widely Distributed across the Species and Has Lytic Activity against Pathogenic Burkholderia.	anovelinducibleprophagefromburkholderiavietnamiensisg4iswidelydistributedacrossthespeciesandhaslyticactivityagainstpathogenicburkholderia	True	0
					Klebsiella pneumoniae carriage in low-income countries: antimicrobial resistance, genomic diversity and risk factors.	klebsiellapneumoniaecarriageinlowincomecountriesantimicrobialresistancegenomicdiversityandriskfactors	True	0
					Relationships among streptococci from the mitis group, misidentified as Streptococcus pneumoniae.	relationshipsamongstreptococcifromthemitisgroupmisidentifiedasstreptococcuspneumoniae	True	0
					Distribution of class 1 integrons in historic and contemporary collections of human pathogenic Escherichia coli.	distributionofclass1integronsinhistoricandcontemporarycollectionsofhumanpathogenicescherichiacoli	True	0
					Integrating whole-genome sequencing within the National Antimicrobial Resistance Surveillance Program in the Philippines.	integratingwholegenomesequencingwithinthenationalantimicrobialresistancesurveillanceprograminthephilippines	True	0
					Source Attribution Study of Sporadic Salmonella Derby Cases in France.	sourceattributionstudyofsporadicsalmonelladerbycasesinfrance	True	0
					Microsatellite marker development in the crop wild relative Linum bienne using genome skimming.	microsatellitemarkerdevelopmentinthecropwildrelativelinumbienneusinggenomeskimming	True	0
					Comparative genomic analysis provides insight into the phylogeny and virulence of atypical enteropathogenic Escherichia coli strains from Brazil.	comparativegenomicanalysisprovidesinsightintothephylogenyandvirulenceofatypicalenteropathogenicescherichiacolistrainsfrombrazil	True	0
					CCMetagen: comprehensive and accurate identification of eukaryotes and prokaryotes in metagenomic data.	ccmetagencomprehensiveandaccurateidentificationofeukaryotesandprokaryotesinmetagenomicdata	True	0
					metaviralSPAdes: assembly of viruses from metagenomic data.	metaviralspadesassemblyofvirusesfrommetagenomicdata	True	0
					Improving the performance of Bayesian phylogenetic inference under relaxed clock models.	improvingtheperformanceofbayesianphylogeneticinferenceunderrelaxedclockmodels	True	0
					Agricultural intensification and the evolution of host specialism in the enteric pathogen Campylobacter jejuni.	agriculturalintensificationandtheevolutionofhostspecialismintheentericpathogencylobacterjejuni	True	0
					Salmonella intracellular adaptation is key to understand cephalosporin treatment relapse.	salmonellaintracellularadaptationiskeytounderstandcephalosporintreatmentrelapse	True	0
					Within-patient plasmid dynamics in Klebsiella pneumoniae during an outbreak of a carbapenemase-producing Klebsiella pneumoniae.	withinpatientplasmiddynamicsinklebsiellapneumoniaeduringanoutbreakofacarbapenemaseproducingklebsiellapneumoniae	True	0
					Sampling bias and incorrect rooting make phylogenetic network tracing of SARS-COV-2 infections unreliable.	slingbiasandincorrectrootingmakephylogeneticnetworktracingofsarscov2infectionsunreliable	True	0
					Differential antimicrobial susceptibility profiles between symptomatic and asymptomatic non-typhoidal Salmonella infections in Vietnamese children.	differentialantimicrobialsusceptibilityprofilesbetweensymptomaticandasymptomaticnontyphoidalsalmonellainfectionsinvietnamesechildren	True	0
					Markov-modulated continuous-time Markov chains to identify site- and branch-specific evolutionary variation in BEAST.	markovmodulatedcontinuoustimemarkovchainstoidentifysiteandbranchspecificevolutionaryvariationinbeast	True	0
					Vulnerabilities in coronavirus glycan shields despite extensive glycosylation.	vulnerabilitiesincoronavirusglycanshieldsdespiteextensiveglycosylation	True	0
					Rapid Detection of Mobilized Colistin Resistance using a Nucleic Acid Based Lab-on-a-Chip Diagnostic System.	rapiddetectionofmobilizedcolistinresistanceusinganucleicacidbasedlabonachipdiagnosticsystem	True	0
					Terminating contamination: large-scale search identifies more than 2,000,000 contaminated entries in GenBank.	terminatingcontaminationlargescalesearchidentifiesmorethan2000000contaminatedentriesingenbank	True	0
					Gradients do grow on trees: a linear-time  (N)-dimensional gradient for statistical phylogenetics.	gradientsdogrowontreesalineartimendimensionalgradientforstatisticalphylogenetics	True	0
					Antimicrobial Resistance in ESKAPE Pathogens.	antimicrobialresistanceineskapepathogens	True	0
					Genomic Epidemiology of SARS-CoV-2 in Guangdong Province, China.	genomicepidemiologyofsarscov2inguangdongprovincechina	True	0
					Coast-to-Coast Spread of SARS-CoV-2 during the Early Epidemic in the United States.	coasttocoastspreadofsarscov2duringtheearlyepidemicintheunitedstates	True	0
					Testing the role of climate in speciation: New methods and applications to squamate reptiles (lizards and snakes).	testingtheroleofclimateinspeciationnewmethodsandapplicationstosquamatereptileslizardsandsnakes	True	0
					Genomic Epidemiology Reconstructs the Introduction and Spread of Zika Virus in Central America and Mexico.	genomicepidemiologyreconstructstheintroductionandspreadofzikavirusincentralamericaandmexico	True	0
					Imaging performance of a dedicated radiation transparent RF coil on a 1.0 Tesla inline MRI-linac.	imagingperformanceofadedicatedradiationtransparentrfcoilona10teslainlinemrilinac	True	0
					Impact of the griffithsin anti-HIV microbicide and placebo gels on the rectal mucosal proteome and microbiome in non-human primates.	impactofthegriffithsinantihivmicrobicideandplacebogelsontherectalmucosalproteomeandmicrobiomeinnonhumanprimates	True	0
					Therapeutic administration of enrofloxacin in mice does not select for fluoroquinolone resistance in &amp;lt;i&amp;gt;Campylobacter jejuni&amp;lt;/i&amp;gt;.	therapeuticadministrationofenrofloxacininmicedoesnotselectforfluoroquinoloneresistanceinltigtcylobacterjejuniltigt	True	0
					Identification of immunodominant CD8 epitope in the stalk domain of influenza B viral hemagglutinin.	identificationofimmunodominantcd8epitopeinthestalkdomainofinfluenzabviralhemagglutinin	True	0
					Genomic Variation Among and Within Six Juglans Species.	genomicvariationamongandwithinsixjuglansspecies	True	0
					The Contribution of Genetic Variation of Streptococcus Pneumoniae to the Clinical Manifestation of Invasive Pneumococcal Disease.	thecontributionofgeneticvariationofstreptococcuspneumoniaetotheclinicalmanifestationofinvasivepneumococcaldisease	True	0
					Whole genome analysis reveals the diversity and evolutionary relationships between necrotic enteritis-causing strains of Clostridium perfringens.	wholegenomeanalysisrevealsthediversityandevolutionaryrelationshipsbetweennecroticenteritiscausingstrainsofclostridiumperfringens	True	0
					Differences in Performance Among Test Statistics for Assessing Phylogenomic Model Adequacy.	differencesinperformanceamongteststatisticsforassessingphylogenomicmodeladequacy	True	0
					Group I introns are widespread in archaea.	groupiintronsarewidespreadinarchaea	True	0
					Variation in human chromosome 21 ribosomal RNA genes characterized by TAR cloning and long-read sequencing.	variationinhumanchromosome21ribosomalrnagenescharacterizedbytarcloningandlongreadsequencing	True	0
					Systematic prediction of genes functionally linked to CRISPR-Cas systems by gene neighborhood analysis.	systematicpredictionofgenesfunctionallylinkedtocrisprcassystemsbygeneneighborhoodanalysis	True	0
					Frequent transmission of the Mycobacterium tuberculosis Beijing lineage and positive selection for the EsxW Beijing variant in Vietnam.	frequenttransmissionofthemycobacteriumtuberculosisbeijinglineageandpositiveselectionfortheesxwbeijingvariantinvietnam	True	0
					An outbreak of a rare Shiga-toxin-producing Escherichia coli serotype (O117:H7) among men who have sex with men.	anoutbreakofarareshigatoxinproducingescherichiacoliserotypeo117h7amongmenwhohavesexwithmen	True	0
					Methanonatronarchaeum thermophilum gen. nov., sp. nov. and 'Candidatus Methanohalarchaeum thermophilum', extremely halo(natrono)philic methyl-reducing methanogens from hypersaline lakes comprising a new euryarchaeal class Methanonatronarchaeia classis nov.	methanonatronarchaeumthermophilumgennovspnovandcandidatusmethanohalarchaeumthermophilumextremelyhalonatronophilicmethylreducingmethanogensfromhypersalinelakescomprisinganeweuryarchaealclassmethanonatronarchaeiaclassisnov	True	0
					Public health surveillance of multidrug-resistant clones of Neisseria gonorrhoeae in Europe: a genomic survey.	publichealthsurveillanceofmultidrugresistantclonesofneisseriagonorrhoeaeineuropeagenomicsurvey	True	0
					Exploration of the effect of violent crime on recreational and transportation walking by path and structural equation models.	explorationoftheeffectofviolentcrimeonrecreationalandtransportationwalkingbypathandstructuralequationmodels	True	0
					Identification of Mycobacterium chimaera in heater-cooler units in China.	identificationofmycobacteriumchimaerainheatercoolerunitsinchina	True	0
					A Novel Hepadnavirus Identified in an Immunocompromised Domestic Cat in Australia.	anovelhepadnavirusidentifiedinanimmunocompromiseddomesticcatinaustralia	True	0
					CypReact: A Software Tool for in Silico Reactant Prediction for Human Cytochrome P450 Enzymes.	cypreactasoftwaretoolforinsilicoreactantpredictionforhumancytochromep450enzymes	True	0
					Development and worldwide use of non-lethal, and minimal population-level impact, protocols for the isolation of amphibian chytrid fungi.	developmentandworldwideuseofnonlethalandminimalpopulationlevelimpactprotocolsfortheisolationofhibianchytridfungi	True	0
					A comparison of methods for estimating substitution rates from ancient DNA sequence data.	acomparisonofmethodsforestimatingsubstitutionratesfromancientdnasequencedata	True	0
					Genomic evidence that the live Chlamydia abortus vaccine strain 1B is not attenuated and has the potential to cause disease.	genomicevidencethatthelivechlamydiaabortusvaccinestrain1bisnotattenuatedandhasthepotentialtocausedisease	True	0
					MetaboAnalyst 4.0: towards more transparent and integrative metabolomics analysis.	metaboanalyst40towardsmoretransparentandintegrativemetabolomicsanalysis	True	0
					Enantioselective fractionation of fluoroquinolones in the aqueous environment using chiral liquid chromatography coupled with tandem mass spectrometry.	enantioselectivefractionationoffluoroquinolonesintheaqueousenvironmentusingchiralliquidchromatographycoupledwithtandemmassspectrometry	True	0
					Bioinformatics Meets Virology: The European Virus Bioinformatics Center's Second Annual Meeting.	bioinformaticsmeetsvirologytheeuropeanvirusbioinformaticscenterssecondannualmeeting	True	0
					Quantifying Direct DNA Damage in the Basal Layer of Skin Exposed to UV Radiation From Sunbeds.	quantifyingdirectdnadamageinthebasallayerofskinexposedtouvradiationfromsunbeds	True	0
					Genomic epidemiology of Shigella in the United Kingdom shows transmission of pathogen sublineages and determinants of antimicrobial resistance.	genomicepidemiologyofshigellaintheunitedkingdomshowstransmissionofpathogensublineagesanddeterminantsofantimicrobialresistance	True	0
					Publisher Correction: Sudden emergence of human infections with H7N9 avian influenza A virus in Hubei province, central China.	publishercorrectionsuddenemergenceofhumaninfectionswithh7n9avianinfluenzaavirusinhubeiprovincecentralchina	True	0
					Detection and analysis of ancient segmental duplications in mammalian genomes.	detectionandanalysisofancientsegmentalduplicationsinmammaliangenomes	True	0
					Outbreak of Invasive Wound Mucormycosis in a Burn Unit Due to Multiple Strains of Mucor circinelloides f. circinelloides Resolved by Whole-Genome Sequencing.	outbreakofinvasivewoundmucormycosisinaburnunitduetomultiplestrainsofmucorcircinelloidesfcircinelloidesresolvedbywholegenomesequencing	True	0
					Association between Fas/FasL gene polymorphism and musculoskeletal degenerative diseases: a meta-analysis.	associationbetweenfasfaslgenepolymorphismandmusculoskeletaldegenerativediseasesametaanalysis	True	0
					Emergence of high-level colistin resistance in an Acinetobacter baumannii clinical isolate mediated by inactivation of the global regulator H-NS.	emergenceofhighlevelcolistinresistanceinanacinetobacterbaumanniiclinicalisolatemediatedbyinactivationoftheglobalregulatorhns	True	0
					Klebsiella pneumoniae as a key trafficker of drug resistance genes from environmental to clinically important bacteria.	klebsiellapneumoniaeasakeytraffickerofdrugresistancegenesfromenvironmentaltoclinicallyimportantbacteria	True	0
					Posterior summarisation in Bayesian phylogenetics using Tracer 1.7.	posteriorsummarisationinbayesianphylogeneticsusingtracer17	True	0
					Internal migration and transmission dynamics of tuberculosis in Shanghai, China: an epidemiological, spatial, genomic analysis.	internalmigrationandtransmissiondynamicsoftuberculosisinshanghaichinaanepidemiologicalspatialgenomicanalysis	True	0
					Taxonomy of the family Arenaviridae and the order Bunyavirales: update 2018.	taxonomyofthefamilyarenaviridaeandtheorderbunyaviralesupdate2018	True	0
					Laboratory and molecular surveillance of paediatric typhoidal Salmonella in Nepal: Antimicrobial resistance and implications for vaccine policy.	laboratoryandmolecularsurveillanceofpaediatrictyphoidalsalmonellainnepalantimicrobialresistanceandimplicationsforvaccinepolicy	True	0
					Regulation of hemolysin in uropathogenic Escherichia coli fine-tunes killing of human macrophages.	regulationofhemolysininuropathogenicescherichiacolifinetuneskillingofhumanmacrophages	True	0
					Neutral theory, microbial practice: challenges in bacterial population genetics.	neutraltheorymicrobialpracticechallengesinbacterialpopulationgenetics	True	0
					MEGAN-LR: new algorithms allow accurate binning and easy interactive exploration of metagenomic long reads and contigs.	meganlrnewalgorithmsallowaccuratebinningandeasyinteractiveexplorationofmetagenomiclongreadsandcontigs	True	0
					Author Correction: Genome-wide analysis of multi- and extensively drug-resistant Mycobacterium tuberculosis.	authorcorrectiongenomewideanalysisofmultiandextensivelydrugresistantmycobacteriumtuberculosis	True	0
					Founder-specific inbreeding depression affects racing performance in Thoroughbred horses.	founderspecificinbreedingdepressionaffectsracingperformanceinthoroughbredhorses	True	0
					Correction: MERS-CoV spillover at the camel-human interface.	correctionmerscovspilloveratthecamelhumaninterface	True	0
					Do we treat our patients or rather periodontal microbes with adjunctive antibiotics in periodontal therapy? A 16S rDNA microbial community analysis.	dowetreatourpatientsorratherperiodontalmicrobeswithadjunctiveantibioticsinperiodontaltherapya16srdnamicrobialcommunityanalysis	True	0
					Evolution of Genome Architecture in Archaea: Spontaneous Generation of a New Chromosome in Haloferax volcanii.	evolutionofgenomearchitectureinarchaeaspontaneousgenerationofanewchromosomeinhaloferaxvolcanii	True	0
					A methanotrophic archaeon couples anaerobic oxidation of methane to Fe(III) reduction.	amethanotrophicarchaeoncouplesanaerobicoxidationofmethanetofeiiireduction	True	0
					What explains high plant richness in East Asia? Time and diversification in the tribe Lysimachieae (Primulaceae).	whatexplainshighplantrichnessineastasiatimeanddiversificationinthetribelysimachieaeprimulaceae	True	0
					The role of the Human Metabolome Database in inborn errors of metabolism.	theroleofthehumanmetabolomedatabaseininbornerrorsofmetabolism	True	0
					Two Distinct Patterns of Clostridium Difficile Diversity Across Europe Indicates Contrasting Routes of Spread.	twodistinctpatternsofclostridiumdifficilediversityacrosseuropeindicatescontrastingroutesofspread	True	0
					Patient and strain characteristics associated with Clostridium difficile transmission and adverse outcomes.	patientandstraincharacteristicsassociatedwithclostridiumdifficiletransmissionandadverseoutcomes	True	0
					Humoral immunity to memory antigens and pathogens is maintained in patients with chronic kidney disease.	humoralimmunitytomemoryantigensandpathogensismaintainedinpatientswithchronickidneydisease	True	0
					Differential immune responses and microbiota profiles in children with autism spectrum disorders and co-morbid gastrointestinal symptoms.	differentialimmuneresponsesandmicrobiotaprofilesinchildrenwithautismspectrumdisordersandcomorbidgastrointestinalsymptoms	True	0
					Seven Salmonella Typhimurium Outbreaks in Australia Linked by Trace-Back and Whole Genome Sequencing.	sevensalmonellatyphimuriumoutbreaksinaustralialinkedbytracebackandwholegenomesequencing	True	0
					Vancomycin-resistant Enterococcus faecium sequence type 796 - rapid international dissemination of a new epidemic clone.	vancomycinresistantenterococcusfaeciumsequencetype796rapidinternationaldisseminationofanewepidemicclone	True	0
					Unraveling the unknown areas of the human metabolome: the role of infrared ion spectroscopy.	unravelingtheunknownareasofthehumanmetabolometheroleofinfraredionspectroscopy	True	0
					A guide to ancient protein studies.	aguidetoancientproteinstudies	True	0
					Whole-genome sequencing revealed concurrent outbreaks of shigellosis in the English Orthodox Jewish Community caused by multiple importations of Shigella sonnei from Israel.	wholegenomesequencingrevealedconcurrentoutbreaksofshigellosisintheenglishorthodoxjewishcommunitycausedbymultipleimportationsofshigellasonneifromisrael	True	0
					Thermal restraint of a bacterial exopolysaccharide of shallow vent origin.	thermalrestraintofabacterialexopolysaccharideofshallowventorigin	True	0
					Horizontal antimicrobial resistance transfer drives epidemics of multiple Shigella species.	horizontalantimicrobialresistancetransferdrivesepidemicsofmultipleshigellaspecies	True	0
					Linking Microbial Community Structure and Function During the Acidified Anaerobic Digestion of Grass.	linkingmicrobialcommunitystructureandfunctionduringtheacidifiedanaerobicdigestionofgrass	True	0
